정류장명,위도,경도
마그내다리,35.9250368,127.1653387
명탄마을,35.9206355,127.1252244
용진원주아파트,35.925093,127.1718885
용진원주아파트,35.92531868,127.1719824
마그내다리,35.9251687,127.165439
농원2구,35.92588932,127.0901994
농원2구,35.92603042,127.0902754
입석마을(삭제),35.92581648,127.2719821
입석마을(삭제),35.92588816,127.2717607
삼봉로완주소방서,35.92635782,127.1214106
삼봉로완주소방서,35.926604,127.121558
삼봉로.구.청완초교,35.92678638,127.1256648
낙평리,35.92685216,127.1639554
삼봉로.구.청완초교,35.9271394,127.1268368
완주경찰서,35.92709592,127.1660291
농원종점,35.92734387,127.0885037
완주경찰서,35.92743643,127.1660291
용복마을,35.92742871,127.1721538
용복마을,35.92750884,127.1724727
용복마을,35.927856,127.1725101
과학로.구.청완초교,35.9289018,127.1253209
과학로.구.청완초교,35.92790433,127.1249948
낙평리,35.92787194,127.1623421
월산리,35.92796723,127.0960529
월산리,35.92807912,127.0961787
신정리,35.92856668,127.1108149
하구미리,35.92857895,127.1357241
신정리,35.92862804,127.1106054
하구미리,35.92884068,127.1355791
봉동주공아파트,35.92929823,127.1608344
봉동주공아파트,35.92952914,127.1612351
상구미리,35.92979719,127.1401
상구미리,35.92997783,127.1397644
낙평네거리,35.93063009,127.1630453
낙평네거리,35.93104006,127.1631571
