공원명,공원구분,주소,위도,경도,면적
은빛공원,어린이공원,전북특별자치도 전주시 완산구 효자동1가 690-5,35.8030586,127.1338644,2054
안행공원,근린공원,전북특별자치도 전주시 완산구 외칠봉4길 9,35.80538046,127.1360226,20497
효자제8호공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1164-1,35.81300369,127.1086926,1537.5
한지공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1191-3,35.80737996,127.0956845,1952
선율공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1192-2,35.8091356,127.100273,1909
도화공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1193-5,35.8072501,127.0980844,1984
효열공원,근린공원,전북특별자치도 전주시 완산구 효자동2가 1193-7,35.80675318,127.0990342,12195
솔바람공원,근린공원,전북특별자치도 전주시 완산구 효자동2가 1200-1,35.8063416,127.0995211,11342
달맞이공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1201-3,35.8070229,127.1015881,1891
푸른연꽃공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1205-1,35.8037085,127.0990965,1498
효자제6호공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1247-13,35.8126301,127.099199,1716
효자제7호공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1260-18,35.8124352,127.1042459,1538.9
사이언스공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1310,35.809352,127.095438,2983
금파공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1314-3,35.80965192,127.098195,2326
물빛채공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1314-7,35.811213,127.101282,4371
이바디공원,근린공원,전북특별자치도 전주시 완산구 우전로 177,35.81069673,127.1011168,14061
토방공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1315-5,35.809807,127.101497,2477
불빛공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1322,35.805541,127.1024189,2579
나무향공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1329-7,35.809874,127.105874,2276
용호근린공원,근린공원,전북특별자치도 전주시 완산구 효자동2가 1333-2,35.80689806,127.104279,31330
모꼬지공원,근린공원,전북특별자치도 전주시 완산구 강변로 260,35.81309246,127.1127717,18059
우전공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가1363-1,35.8011687678,127.1026483340,3094
신주공원,어린이공원,전북특별자치도 전주시 완산구 효자동2가 1363-2,35.8009906139,127.1009651933,1633
천잠공원,근린공원,전북특별자치도 전주시 완산구 효자동2가 산 139,35.81021565,127.0844872,832791
백로공원,근린공원,전북특별자치도 전주시 완산구 효자동2가 산 61,35.8008763,127.1074326,55017
모롱지공원,근린공원,전북특별자치도 전주시 완산구 효자동3가 1407-3,35.83650064,127.1033146,11657
서중공원,어린이공원,전북특별자치도 전주시 완산구 효자동3가 1433,35.8352748,127.1001981,1684
신덕공원,어린이공원,전북특별자치도 전주시 완산구 효자동3가 1443-2,35.8341299,127.1025975,2482
양지뜸공원,어린이공원,전북특별자치도 전주시 완산구 효자동3가 1473-4,35.8323436,127.0983313,4842
서곡공원,근린공원,전북특별자치도 전주시 완산구 서곡2길 29-6,35.8337889,127.1041528,29536
서곡공원,어린이공원,전북특별자치도 전주시 완산구 효자동3가 1487,35.829822,127.0987812,2871
문학대2공원,근린공원,전북특별자치도 전주시 완산구 효자동3가 1523-2,35.82766862,127.1097689,71962
마전숲,근린공원,전북특별자치도 전주시 완산구 효자동3가 1526-1,35.8187033,127.1106341,17848
서부제5공원,근린공원,전북특별자치도 전주시 완산구 효자동3가 1578,35.82960936,127.0970700298,39618
서부제4공원,근린공원,전북특별자치도 전주시 완산구 효자동3가 1580,35.8302066,127.0996597,17448
문학대1공원,근린공원,전북특별자치도 전주시 완산구 효자동3가 1587,35.82918842,127.1051164,25693
효자제1호공원,어린이공원,전북특별자치도 전주시 완산구 효자동3가 1604-29,35.82710278,127.1014206,1626.9
